resp_id,a_hhid,plot,plot_id,district,village,treatment,plot_gpslatitude,plot_gpslongitude,plot_gpsaltitude,plot_gpsaccuracy,mon_paddy,harvested,manage_status,manage_type1,manage_type2,burnt,burn_technique,burn_technique_1,burn_technique_2,burn_technique_3,burn_technique_4,burn_technique_5,burn_technique_6,burn_technique_7,sowed,comments,village_id,spotcheck_date
105800311,10580031,2,p2,Bathinda,Bugra,PES + 50% UCT 800/acres,30.30763054,75.31601715,205.6999969,4.599999905,Yes,Yes,Stubble managed,Used CRM machine,,0,,,,,,,,,No,Good,1039,11/10/19
105800331,10580033,1,p1,Bathinda,Bugra,PES + 50% UCT 800/acres,30.30851746,75.30534363,208.3000031,4.699999809,Yes,Yes,Stubble managed,Incorporated stubble into the soil,,0,,,,,,,,,Yes,Good,1039,11/10/19
105800861,10580086,1,p1,Bathinda,Bugra,PES + 50% UCT 800/acres,30.31509209,75.31375885,210.1000061,4.800000191,Yes,Yes,Stubble managed,Burnt,,1,3,0,0,1,0,0,0,0,Yes,Good,1039,11/14/19
105801051,10580105,1,p1,Bathinda,Bugra,PES + 50% UCT 800/acres,30.30850792,75.29865265,216.5,4.900000095,Yes,Yes,Stubble managed,Used CRM machine,,0,,,,,,,,,Yes,Good,1039,11/10/19
105801131,10580113,2,p2,Bathinda,Bugra,PES + 50% UCT 800/acres,30.32109261,75.3119812,205.5,3.700000048,Yes,Yes,Stubble managed,Created bales,,0,,,,,,,,,No,Good,1039,11/14/19
105801151,10580115,1,p1,Bathinda,Bugra,PES + 50% UCT 800/acres,30.31824684,75.30657959,214.3000031,4.5,Yes,Yes,Stubble managed,Incorporated stubble into the soil,,0,,,,,,,,,Yes,Good,1039,11/14/19
105801181,10580118,3,p3,Bathinda,Bugra,PES + 50% UCT 800/acres,30.31066704,75.3183136,222.3000031,4.300000191,Yes,Yes,Stubble managed,Used CRM machine,,0,,,,,,,,,Yes,Good,1039,11/14/19
105801261,10580126,1,p1,Bathinda,Bugra,PES + 50% UCT 800/acres,30.3187027,75.30303955,211,4.300000191,Yes,Yes,Stubble managed,Incorporated stubble into the soil,,0,,,,,,,,,No,Good,1039,11/10/19
105900111,10590011,1,p1,Bathinda,Buraj Throd,Control,30.47207069,75.05638123,161.1000061,4.199999809,Yes,Yes,Stubble managed,Created bales,,0,,,,,,,,,Yes,,1040,11/16/19
105900411,10590041,1,p1,Bathinda,Buraj Throd,Control,30.46130943,75.04446411,206.3000031,4.800000191,Yes,Yes,Stubble managed,Incorporated stubble into the soil,,0,,,,,,,,,Yes,,1040,11/11/19
105900521,10590052,1,p1,Bathinda,Buraj Throd,Control,30.45275307,75.05942535,207.5,4.699999809,Yes,Yes,Stubble managed,Burnt,,1,3,0,0,1,0,0,0,0,Yes,,1040,11/16/19
105900531,10590053,1,p1,Bathinda,Buraj Throd,Control,30.46032906,75.04733276,200.8000031,4.699999809,Yes,Yes,Stubble management ongoing,,Using CRM machine,0,,,,,,,,,,,1040,11/11/19
105900571,10590057,1,p1,Bathinda,Buraj Throd,Control,30.47019386,75.04483032,185.3999939,4.599999905,Yes,Yes,Stubble managed,Burnt,,1,3,0,0,1,0,0,0,0,Yes,,1040,11/16/19
105900671,10590067,1,p1,Bathinda,Buraj Throd,Control,30.45432663,75.05207825,186,5,Yes,Yes,Stubble managed,Burnt,,1,3,0,0,1,0,0,0,0,No,,1040,11/16/19
105900691,10590069,2,p2,Bathinda,Buraj Throd,Control,30.4580574,75.05400085,179.1000061,4.800000191,Yes,Yes,Stubble managed,Burnt,,1,3,0,0,1,0,0,0,0,No,,1040,11/16/19
105900711,10590071,2,p2,Bathinda,Buraj Throd,Control,30.4727993,75.05606842,212.3000031,4.900000095,Yes,Yes,Stubble managed,Created bales,,0,,,,,,,,,No,,1040,11/11/19
105900741,10590074,1,p1,Bathinda,Buraj Throd,Control,30.46452141,75.05845642,175.3999939,5,Yes,Yes,Stubble managed,Burnt,,1,1,1,0,0,0,0,0,0,No,,1040,11/16/19
105900851,10590085,1,p1,Bathinda,Buraj Throd,Control,30.46964264,75.05267334,203.6999969,5,Yes,Yes,Stubble managed,Created bales,,0,,,,,,,,,Yes,,1040,11/11/19
